long,lat
37.92805,68.15054
37.91944,68.1436
37.90888,68.13805
37.88444,68.12997
37.85889,68.12303
37.80999,68.09972
37.79472,68.0911
37.76527,68.07304
37.73888,68.05193
37.6911,68.0061
37.68388,67.99748
37.67833,67.98776
37.66833,67.9747
37.63611,67.9372
37.61721,67.91721
37.59972,67.90305
37.54055,67.85915
37.50583,67.83832
37.48499,67.82748
37.47916,67.82527
37.4461,67.81749
37.41638,67.81749
37.39777,67.82639
37.38361,67.83276
37.35249,67.84082
37.33055,67.84387
37.31249,67.8436
37.28166,67.84137
37.26194,67.83804
37.2561,67.83611
37.22582,67.81888
37.21166,67.80914
37.19943,67.79804
37.19222,67.78998
37.18582,67.77988
37.1936,67.77916
37.19972,67.77721
37.21194,67.77054
37.21555,67.76582
37.22054,67.75526
37.22471,67.74387
37.2461,67.64943
37.2686,67.52638
37.25055,67.45638
37.22054,67.40416
37.21749,67.39722
37.21249,67.38081
37.20329,67.30495
37.19632,67.29569
37.19249,67.28909
37.18694,67.27416
37.18472,67.25943
37.18388,67.25221
37.1861,67.23998
37.19193,67.22943
37.20305,67.22221
37.22027,67.21971
37.23249,67.21277
37.24666,67.20027
37.33997,67.09648
37.34658,67.08768
37.37721,67.02165
37.38221,67.00417
37.38249,66.97026
37.37888,66.92693
37.36583,66.85803
37.36361,66.83638
37.35555,66.7211
37.3586,66.62915
37.3625,66.61775
37.36805,66.58693
37.36832,66.57361
37.36638,66.53774
37.37305,66.52805
37.3811,66.52138
37.39444,66.51582
37.39944,66.51555
37.53194,66.51694
37.77277,66.53832
37.78889,66.54137
37.81249,66.55081
37.82388,66.55776
37.88472,66.61609
37.90138,66.63304
37.90833,66.64249
37.91638,66.65109
37.925,66.65942
37.93028,66.66304
37.93665,66.66638
37.94804,66.67053
37.96388,66.67249
37.97332,66.67026
37.98164,66.66609
37.98999,66.65888
38.00305,66.64388
38.01555,66.62026
38.02444,66.60027
38.035,66.57027
38.04083,66.54137
38.04333,66.52054
38.04305,66.49498
38.04111,66.48943
38.03722,66.45972
38.03694,66.45332
38.03777,66.44637
38.04361,66.42387
38.07888,66.33276
38.08472,66.31944
38.09193,66.31026
38.09943,66.30248
38.11583,66.28998
38.1286,66.28194
38.14083,66.27277
38.14471,66.26915
38.15193,66.26027
38.23611,66.07166
38.2411,66.05582
38.28082,65.89526
38.28305,65.88081
38.28305,65.87442
38.28111,65.86249
38.27361,65.84027
38.26527,65.81888
38.25722,65.80359
38.25361,65.79887
38.23666,65.78221
38.23221,65.77165
38.22638,65.7486
38.22527,65.72971
38.22582,65.71639
38.22804,65.69553
38.23638,65.65776
38.24361,65.62776
38.25388,65.59721
38.26833,65.56442
38.385,65.33666
38.39471,65.31972
38.41082,65.29221
38.43472,65.25665
38.47694,65.19887
38.51194,65.15166
38.53333,65.12387
38.54805,65.10664
38.61666,65.00333
38.62666,64.9872
38.63194,64.97638
38.64888,64.93526
38.6561,64.91138
38.65749,64.90387
38.6661,64.87499
38.68999,64.79804
38.70833,64.74664
38.73611,64.67777
38.74194,64.66527
38.76138,64.63165
38.87388,64.46471
38.89138,64.44136
38.90249,64.42831
38.91388,64.41638
38.92944,64.40193
38.94554,64.3886
38.95313,64.38303
